"id","nome","partido"
178990,"Samuel Moreira","PSDB"
178992,"Vitor Lippi","PSDB"
178993,"Carlos Henrique Gaguim","UNIÃO"
178994,"Dulce Miranda","MDB"
178996,"Giovani Feltes","MDB"
178997,"Moses Rodrigues","UNIÃO"
179000,"Marcelo Álvaro Antônio","PL"
179001,"Márcio Biolchi","MDB"
179587,"Major Vitor Hugo","PL"
180018,"Thiago Cartaxo","PODE"
182146,"Wolmer Araújo","PV"
188097,"Merlong Solano","PT"
191923,"Flávio Nogueira","PT"
191945,"Zé Augusto Nalin","UNIÃO"
193726,"Paulo Eduardo Martins","PL"
194260,"Nivaldo Albuquerque","REPUBLICANOS"
195866,"Vaidon Oliveira","UNIÃO"
196358,"Lourival Gomes","PP"
197438,"Tito","AVANTE"
198197,"Greyce Elias","AVANTE"
198783,"Emanuel Pinheiro Neto","MDB"
204011,"Marcos Pacco","PODE"
204351,"Dr. Luiz Ovando","PP"
204352,"Camilo Capiberibe","PSB"
204353,"Aline Gurgel","REPUBLICANOS"
204354,"Flávia Arruda","PL"
204355,"Da Vitoria","PP"
204356,"Amaro Neto","REPUBLICANOS"
204357,"Rose Modesto","UNIÃO"
204358,"Beto Pereira","PSDB"
204359,"Léo Moraes","PODE"
204360,"Silvia Cristina","PL"
204361,"Carlos Chiodini","MDB"
204362,"Ricardo Guidi","PSD"
204363,"Osires Damaso","PSC"
204364,"Eli Borges","PL"
204365,"Gilson Marques","NOVO"
204366,"Rodrigo Coelho","PODE"
204367,"Daniel Freitas","PL"
204368,"Fabio Schiochet","UNIÃO"
204369,"Caroline de Toni","PL"
204370,"Célio Moura","PT"
204371,"Felipe Rigoni","UNIÃO"
204372,"Julio Cesar Ribeiro","REPUBLICANOS"
204373,"Hélio Costa","PSD"
204374,"Bia Kicis","PL"
204375,"Leda Sadala","PP"
204376,"Coronel Armando","PL"
204377,"Paula Belmonte","CIDADANIA"
204378,"Coronel Chrisóstomo","PL"
204379,"Acácio Favacho","MDB"
204380,"Celina Leão","PP"
204381,"Luis Miranda","REPUBLICANOS"
204382,"Loester Trutis","PL"
204383,"Professor Israel Batista","PSB"
204384,"Ney Leprevost","UNIÃO"
204385,"Valdevan Noventa","PL"
204386,"Jose Mario Schreiner","MDB"
204387,"Sargento Fahur","PSD"
204388,"Bibo Nunes","PL"
204389,"Elias Vaz","PSB"
204390,"Professor Alcides","PL"
204391,"José Nelto","PP"
204392,"Francisco Jr.","PSD"
204393,"Frei Anastacio Ribeiro","PT"
204394,"Gervásio Maia","PSB"
204395,"Pedro Lupion","PP"
204396,"Vermelho","PL"
204397,"Boca Aberta","PROS"
204398,"Felipe Francischini","UNIÃO"
204399,"Schiavinato","PP"
204400,"Aline Sleutjes","PROS"
204403,"Marlon Santos","PL"
204404,"Lucas Redecker","PSDB"
204405,"Liziane Bayer","REPUBLICANOS"
204406,"Pedro Westphalen","PP"
204407,"Fernanda Melchionna","PSOL"
204408,"Gustinho Ribeiro","REPUBLICANOS"
